✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/output/t18
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/output/t18
等待 Flink 指標數據 (Job 可能正在重啟中)...
[15:27:21] Time: 2s | Total Latency: 402.00 ms | Throughput: 0.00 records/s
[15:27:23] Time: 4s | Total Latency: 486.00 ms | Throughput: 0.00 records/s
[15:27:25] Time: 6s | Total Latency: 882.00 ms | Throughput: 4311.90 records/s
[15:27:27] Time: 8s | Total Latency: 882.00 ms | Throughput: 4311.90 records/s
[15:27:29] Time: 10s | Total Latency: 2877.00 ms | Throughput: 21143.03 records/s
[15:27:32] Time: 12s | Total Latency: 2877.00 ms | Throughput: 25821.07 records/s
[15:27:34] Time: 14s | Total Latency: 4332.00 ms | Throughput: 34979.97 records/s
[15:27:36] Time: 16s | Total Latency: 4337.00 ms | Throughput: 37197.87 records/s
[15:27:38] Time: 18s | Total Latency: 4337.00 ms | Throughput: 37197.87 records/s
[15:27:40] Time: 20s | Total Latency: 4928.00 ms | Throughput: 45858.73 records/s
[15:27:42] Time: 22s | Total Latency: 4928.00 ms | Throughput: 49850.53 records/s
[15:27:44] Time: 24s | Total Latency: 4879.00 ms | Throughput: 57955.27 records/s
[15:27:46] Time: 26s | Total Latency: 4192.00 ms | Throughput: 60866.33 records/s
[15:27:48] Time: 28s | Total Latency: 4192.00 ms | Throughput: 60866.33 records/s
[15:27:50] Time: 30s | Total Latency: 7489.00 ms | Throughput: 67628.77 records/s
[15:27:52] Time: 32s | Total Latency: 7489.00 ms | Throughput: 72245.93 records/s
[15:27:54] Time: 34s | Total Latency: 9667.00 ms | Throughput: 79851.87 records/s
[15:27:56] Time: 36s | Total Latency: 9667.00 ms | Throughput: 82721.87 records/s
[15:27:58] Time: 38s | Total Latency: 9667.00 ms | Throughput: 82721.87 records/s
[15:28:00] Time: 40s | Total Latency: 9027.00 ms | Throughput: 91227.83 records/s
[15:28:02] Time: 42s | Total Latency: 9027.00 ms | Throughput: 96640.53 records/s
[15:28:04] Time: 44s | Total Latency: 11107.00 ms | Throughput: 107609.67 records/s
[15:28:06] Time: 46s | Total Latency: 11107.00 ms | Throughput: 111168.73 records/s
[15:28:08] Time: 48s | Total Latency: 11107.00 ms | Throughput: 111168.73 records/s
[15:28:10] Time: 50s | Total Latency: 12910.00 ms | Throughput: 120848.03 records/s
[15:28:12] Time: 52s | Total Latency: 12910.00 ms | Throughput: 124814.93 records/s
[15:28:14] Time: 54s | Total Latency: 13420.00 ms | Throughput: 133372.63 records/s
[15:28:16] Time: 56s | Total Latency: 13420.00 ms | Throughput: 134665.00 records/s
[15:28:18] Time: 58s | Total Latency: 13995.00 ms | Throughput: 139738.80 records/s
[15:28:20] Time: 60s | Total Latency: 13995.00 ms | Throughput: 143012.47 records/s
[15:28:22] Time: 62s | Total Latency: 13995.00 ms | Throughput: 145491.33 records/s
[15:28:24] Time: 64s | Total Latency: 14384.00 ms | Throughput: 152616.97 records/s
[15:28:26] Time: 66s | Total Latency: 14721.00 ms | Throughput: 154756.93 records/s
[15:28:28] Time: 68s | Total Latency: 15764.00 ms | Throughput: 147364.90 records/s
[15:28:30] Time: 70s | Total Latency: 15764.00 ms | Throughput: 146328.90 records/s
[15:28:32] Time: 72s | Total Latency: 15764.00 ms | Throughput: 145283.13 records/s
[15:28:34] Time: 74s | Total Latency: 14804.00 ms | Throughput: 143060.40 records/s
[15:28:36] Time: 76s | Total Latency: 14804.00 ms | Throughput: 143963.33 records/s
[15:28:38] Time: 78s | Total Latency: 15614.00 ms | Throughput: 145365.77 records/s
[15:28:40] Time: 80s | Total Latency: 15614.00 ms | Throughput: 144412.33 records/s
[15:28:42] Time: 82s | Total Latency: 15614.00 ms | Throughput: 143770.27 records/s
[15:28:44] Time: 84s | Total Latency: 16450.00 ms | Throughput: 143637.27 records/s
[15:28:46] Time: 86s | Total Latency: 16450.00 ms | Throughput: 143764.60 records/s
[15:28:48] Time: 88s | Total Latency: 20168.00 ms | Throughput: 145462.63 records/s
[15:28:50] Time: 90s | Total Latency: 20168.00 ms | Throughput: 144524.93 records/s
[15:28:52] Time: 92s | Total Latency: 20168.00 ms | Throughput: 143765.43 records/s
[15:28:54] Time: 94s | Total Latency: 21284.00 ms | Throughput: 146075.00 records/s
[15:28:56] Time: 96s | Total Latency: 21284.00 ms | Throughput: 146800.57 records/s
[15:28:58] Time: 98s | Total Latency: 23211.00 ms | Throughput: 146194.63 records/s
[15:29:00] Time: 100s | Total Latency: 23211.00 ms | Throughput: 144487.00 records/s
[15:29:02] Time: 102s | Total Latency: 23211.00 ms | Throughput: 144487.00 records/s
[15:29:04] Time: 104s | Total Latency: 21729.00 ms | Throughput: 143573.90 records/s
[15:29:06] Time: 106s | Total Latency: 21729.00 ms | Throughput: 142114.00 records/s
[15:29:08] Time: 108s | Total Latency: 21620.00 ms | Throughput: 141029.17 records/s
[15:29:10] Time: 110s | Total Latency: 21620.00 ms | Throughput: 139795.83 records/s
[15:29:12] Time: 112s | Total Latency: 21620.00 ms | Throughput: 139795.83 records/s
[15:29:14] Time: 114s | Total Latency: 22138.00 ms | Throughput: 140164.40 records/s
[15:29:16] Time: 116s | Total Latency: 22138.00 ms | Throughput: 141420.10 records/s
[15:29:18] Time: 118s | Total Latency: 23294.00 ms | Throughput: 142249.80 records/s
[15:29:20] Time: 120s | Total Latency: 23294.00 ms | Throughput: 142102.13 records/s
[15:29:22] Time: 122s | Total Latency: 23294.00 ms | Throughput: 142102.13 records/s
[15:29:24] Time: 124s | Total Latency: 25234.00 ms | Throughput: 139965.50 records/s
[15:29:26] Time: 126s | Total Latency: 25234.00 ms | Throughput: 136706.70 records/s
[15:29:28] Time: 128s | Total Latency: 28658.00 ms | Throughput: 139071.90 records/s
[15:29:30] Time: 130s | Total Latency: 28876.00 ms | Throughput: 142773.17 records/s
[15:29:32] Time: 132s | Total Latency: 28876.00 ms | Throughput: 142773.17 records/s
[15:29:34] Time: 134s | Total Latency: 30446.00 ms | Throughput: 146493.23 records/s
[15:29:36] Time: 136s | Total Latency: 30446.00 ms | Throughput: 145710.93 records/s
[15:29:38] Time: 138s | Total Latency: 30952.00 ms | Throughput: 144641.07 records/s
[15:29:40] Time: 140s | Total Latency: 30952.00 ms | Throughput: 145742.30 records/s
[15:29:42] Time: 142s | Total Latency: 30952.00 ms | Throughput: 145742.30 records/s
[15:29:44] Time: 144s | Total Latency: 29010.00 ms | Throughput: 147335.53 records/s
[15:29:46] Time: 146s | Total Latency: 29010.00 ms | Throughput: 145580.03 records/s
[15:29:48] Time: 148s | Total Latency: 29357.00 ms | Throughput: 144101.90 records/s
[15:29:50] Time: 150s | Total Latency: 29357.00 ms | Throughput: 144020.20 records/s
[15:29:52] Time: 152s | Total Latency: 29357.00 ms | Throughput: 144020.20 records/s
[15:29:54] Time: 154s | Total Latency: 30237.00 ms | Throughput: 143001.47 records/s
[15:29:56] Time: 156s | Total Latency: 30237.00 ms | Throughput: 142099.57 records/s
[15:29:58] Time: 158s | Total Latency: 31406.00 ms | Throughput: 142566.47 records/s
[15:30:00] Time: 160s | Total Latency: 31406.00 ms | Throughput: 145608.37 records/s
[15:30:02] Time: 162s | Total Latency: 31406.00 ms | Throughput: 145608.37 records/s
[15:30:04] Time: 164s | Total Latency: 33228.00 ms | Throughput: 141942.93 records/s
[15:30:06] Time: 166s | Total Latency: 33228.00 ms | Throughput: 142904.03 records/s
[15:30:08] Time: 168s | Total Latency: 36504.00 ms | Throughput: 143751.33 records/s
[15:30:10] Time: 170s | Total Latency: 36504.00 ms | Throughput: 145821.67 records/s
[15:30:12] Time: 172s | Total Latency: 36504.00 ms | Throughput: 145821.67 records/s
[15:30:14] Time: 174s | Total Latency: 36648.00 ms | Throughput: 146517.17 records/s
[15:30:16] Time: 176s | Total Latency: 36648.00 ms | Throughput: 146914.50 records/s
[15:30:18] Time: 178s | Total Latency: 35576.00 ms | Throughput: 144093.17 records/s
[15:30:20] Time: 180s | Total Latency: 35576.00 ms | Throughput: 143115.73 records/s
[15:30:22] Time: 182s | Total Latency: 35576.00 ms | Throughput: 143115.73 records/s
[15:30:24] Time: 184s | Total Latency: 36385.00 ms | Throughput: 151456.07 records/s
