✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_154550/baseline
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_154550/baseline/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_154550/baseline
等待 Flink 指標數據 (Job 可能正在重啟中)...
[17:00:42] Time: 2s | Total Latency: 445.00 ms | Throughput: 0.00 records/s
[17:00:44] Time: 4s | Total Latency: 531.00 ms | Throughput: 0.00 records/s
[17:00:46] Time: 6s | Total Latency: 531.00 ms | Throughput: 0.00 records/s
[17:00:48] Time: 8s | Total Latency: 3603.00 ms | Throughput: 17288.13 records/s
[17:00:50] Time: 10s | Total Latency: 3603.00 ms | Throughput: 17288.13 records/s
[17:00:52] Time: 12s | Total Latency: 820.00 ms | Throughput: 22125.97 records/s
[17:00:54] Time: 14s | Total Latency: 1471.00 ms | Throughput: 34206.50 records/s
[17:00:56] Time: 16s | Total Latency: 1471.00 ms | Throughput: 34206.50 records/s
[17:00:58] Time: 18s | Total Latency: 746.00 ms | Throughput: 49475.13 records/s
[17:01:00] Time: 20s | Total Latency: 746.00 ms | Throughput: 49475.13 records/s
[17:01:02] Time: 22s | Total Latency: 746.00 ms | Throughput: 52475.13 records/s
[17:01:04] Time: 24s | Total Latency: 707.00 ms | Throughput: 60500.00 records/s
[17:01:06] Time: 26s | Total Latency: 707.00 ms | Throughput: 60500.00 records/s
[17:01:08] Time: 28s | Total Latency: 814.00 ms | Throughput: 70500.00 records/s
[17:01:10] Time: 30s | Total Latency: 814.00 ms | Throughput: 70500.00 records/s
[17:01:12] Time: 32s | Total Latency: 858.00 ms | Throughput: 72995.97 records/s
[17:01:14] Time: 34s | Total Latency: 858.00 ms | Throughput: 82500.00 records/s
[17:01:16] Time: 36s | Total Latency: 858.00 ms | Throughput: 82500.00 records/s
[17:01:18] Time: 38s | Total Latency: 705.00 ms | Throughput: 98407.20 records/s
[17:01:20] Time: 40s | Total Latency: 705.00 ms | Throughput: 98407.20 records/s
[17:01:22] Time: 42s | Total Latency: 705.00 ms | Throughput: 102186.13 records/s
[17:01:24] Time: 44s | Total Latency: 701.00 ms | Throughput: 115667.37 records/s
[17:01:26] Time: 46s | Total Latency: 701.00 ms | Throughput: 115667.37 records/s
[17:01:28] Time: 48s | Total Latency: 786.00 ms | Throughput: 128833.33 records/s
[17:01:30] Time: 50s | Total Latency: 786.00 ms | Throughput: 128833.33 records/s
[17:01:32] Time: 52s | Total Latency: 786.00 ms | Throughput: 132666.67 records/s
[17:01:34] Time: 54s | Total Latency: 707.00 ms | Throughput: 139833.33 records/s
[17:01:36] Time: 56s | Total Latency: 726.00 ms | Throughput: 143201.43 records/s
[17:01:38] Time: 58s | Total Latency: 726.00 ms | Throughput: 150371.07 records/s
[17:01:40] Time: 60s | Total Latency: 726.00 ms | Throughput: 150371.07 records/s
[17:01:42] Time: 62s | Total Latency: 707.00 ms | Throughput: 153822.13 records/s
[17:01:44] Time: 64s | Total Latency: 706.00 ms | Throughput: 163591.53 records/s
[17:01:46] Time: 66s | Total Latency: 694.00 ms | Throughput: 164857.37 records/s
[17:01:48] Time: 68s | Total Latency: 708.00 ms | Throughput: 161378.53 records/s
