✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/baseline
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/baseline/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/baseline
等待 Flink 指標數據 (Job 可能正在重啟中)...
等待 Flink 指標數據 (Job 可能正在重啟中)...
[17:21:44] Time: 4s | Total Latency: 668.00 ms | Throughput: 0.00 records/s
[17:21:46] Time: 6s | Total Latency: 2331.00 ms | Throughput: 0.00 records/s
[17:21:48] Time: 8s | Total Latency: 3096.00 ms | Throughput: 0.00 records/s
[17:21:50] Time: 10s | Total Latency: 2976.00 ms | Throughput: 17308.93 records/s
[17:21:52] Time: 12s | Total Latency: 2976.00 ms | Throughput: 17308.93 records/s
[17:21:54] Time: 14s | Total Latency: 6107.00 ms | Throughput: 27683.70 records/s
[17:21:56] Time: 16s | Total Latency: 6107.00 ms | Throughput: 31929.00 records/s
[17:21:59] Time: 18s | Total Latency: 6107.00 ms | Throughput: 31929.00 records/s
[17:22:01] Time: 20s | Total Latency: 6798.00 ms | Throughput: 45380.37 records/s
[17:22:03] Time: 22s | Total Latency: 6798.00 ms | Throughput: 45380.37 records/s
[17:22:05] Time: 24s | Total Latency: 7237.00 ms | Throughput: 56983.77 records/s
[17:22:07] Time: 26s | Total Latency: 7237.00 ms | Throughput: 56983.77 records/s
[17:22:09] Time: 28s | Total Latency: 7237.00 ms | Throughput: 56983.77 records/s
[17:22:11] Time: 30s | Total Latency: 8862.00 ms | Throughput: 64446.80 records/s
[17:22:13] Time: 32s | Total Latency: 8862.00 ms | Throughput: 64446.80 records/s
[17:22:15] Time: 34s | Total Latency: 8911.00 ms | Throughput: 76404.03 records/s
[17:22:17] Time: 36s | Total Latency: 8911.00 ms | Throughput: 76404.03 records/s
[17:22:19] Time: 38s | Total Latency: 8911.00 ms | Throughput: 76404.03 records/s
[17:22:21] Time: 40s | Total Latency: 7796.00 ms | Throughput: 87988.30 records/s
[17:22:23] Time: 42s | Total Latency: 7796.00 ms | Throughput: 87988.30 records/s
[17:22:25] Time: 44s | Total Latency: 8284.00 ms | Throughput: 101644.70 records/s
[17:22:27] Time: 46s | Total Latency: 8284.00 ms | Throughput: 101644.70 records/s
[17:22:29] Time: 48s | Total Latency: 8284.00 ms | Throughput: 101644.70 records/s
[17:22:31] Time: 50s | Total Latency: 10961.00 ms | Throughput: 115567.63 records/s
[17:22:33] Time: 52s | Total Latency: 10961.00 ms | Throughput: 115567.63 records/s
[17:22:35] Time: 54s | Total Latency: 12965.00 ms | Throughput: 129361.23 records/s
[17:22:37] Time: 56s | Total Latency: 12965.00 ms | Throughput: 129361.23 records/s
[17:22:39] Time: 58s | Total Latency: 13024.00 ms | Throughput: 129361.23 records/s
[17:22:41] Time: 60s | Total Latency: 14346.00 ms | Throughput: 140394.17 records/s
[17:22:43] Time: 62s | Total Latency: 14346.00 ms | Throughput: 140394.17 records/s
[17:22:45] Time: 64s | Total Latency: 15414.00 ms | Throughput: 150890.27 records/s
[17:22:47] Time: 66s | Total Latency: 15414.00 ms | Throughput: 150890.27 records/s
