✅ Query: Q7 → Job: Nexmark_Q7_Isolated__Benchmark_Driver_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose/latency_data.csv
開始監控 Job: Nexmark_Q7_Isolated__Benchmark_Driver_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_162444/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[16:25:05] Time: 2s | Total Latency: 0.00 ms | Throughput: 0.00 records/s
[16:25:07] Time: 4s | Total Latency: 288.00 ms | Throughput: 0.00 records/s
[16:25:09] Time: 6s | Total Latency: 665.00 ms | Throughput: 0.00 records/s
[16:25:11] Time: 8s | Total Latency: 665.00 ms | Throughput: 12166.67 records/s
[16:25:13] Time: 10s | Total Latency: 2316.00 ms | Throughput: 17641.80 records/s
[16:25:15] Time: 12s | Total Latency: 3099.00 ms | Throughput: 21975.13 records/s
[16:25:17] Time: 14s | Total Latency: 3099.00 ms | Throughput: 29517.17 records/s
[16:25:19] Time: 16s | Total Latency: 5937.00 ms | Throughput: 37670.77 records/s
[16:25:21] Time: 18s | Total Latency: 7724.00 ms | Throughput: 42357.50 records/s
[16:25:23] Time: 20s | Total Latency: 7724.00 ms | Throughput: 44739.37 records/s
[16:25:25] Time: 22s | Total Latency: 6815.00 ms | Throughput: 48719.77 records/s
[16:25:27] Time: 24s | Total Latency: 8211.00 ms | Throughput: 51872.10 records/s
[16:25:29] Time: 26s | Total Latency: 8211.00 ms | Throughput: 54055.47 records/s
[16:25:31] Time: 28s | Total Latency: 7708.00 ms | Throughput: 59728.43 records/s
[16:25:33] Time: 30s | Total Latency: 7708.00 ms | Throughput: 62589.40 records/s
[16:25:35] Time: 32s | Total Latency: 7708.00 ms | Throughput: 66504.10 records/s
[16:25:37] Time: 34s | Total Latency: 7979.00 ms | Throughput: 73946.07 records/s
