✅ Query: Q5 → Job: Nexmark_Q5_Isolated__Migration_Test_
✅ 輸出路徑: /home/yenwei/research/structure_setup/results/run_20260507_185802/propose
✅ CSV 路徑: /home/yenwei/research/structure_setup/results/run_20260507_185802/propose/latency_data.csv
開始監控 Job: Nexmark_Q5_Isolated__Migration_Test_
數據將存儲至: /home/yenwei/research/structure_setup/results/run_20260507_185802/propose
等待 Flink 指標數據 (Job 可能正在重啟中)...
[18:58:22] Time: 2s | Total Latency: 3189.00 ms | Throughput: 0.00 records/s
[18:58:24] Time: 4s | Total Latency: 3189.00 ms | Throughput: 0.00 records/s
[18:58:26] Time: 6s | Total Latency: 5042.00 ms | Throughput: 0.00 records/s
[18:58:28] Time: 8s | Total Latency: 6723.00 ms | Throughput: 1056.15 records/s
[18:58:30] Time: 10s | Total Latency: 6723.00 ms | Throughput: 3142.28 records/s
[18:58:32] Time: 12s | Total Latency: 8028.00 ms | Throughput: 9047.70 records/s
[18:58:34] Time: 14s | Total Latency: 8028.00 ms | Throughput: 9047.70 records/s
[18:58:36] Time: 16s | Total Latency: 8903.00 ms | Throughput: 15867.13 records/s
[18:58:38] Time: 18s | Total Latency: 10068.00 ms | Throughput: 17603.78 records/s
[18:58:40] Time: 20s | Total Latency: 10068.00 ms | Throughput: 19755.63 records/s
[18:58:42] Time: 22s | Total Latency: 13159.00 ms | Throughput: 25298.78 records/s
[18:58:44] Time: 24s | Total Latency: 13159.00 ms | Throughput: 25298.78 records/s
[18:58:46] Time: 26s | Total Latency: 14893.00 ms | Throughput: 29239.60 records/s
[18:58:48] Time: 28s | Total Latency: 15863.00 ms | Throughput: 30555.72 records/s
[18:58:50] Time: 30s | Total Latency: 15863.00 ms | Throughput: 32270.52 records/s
[18:58:52] Time: 32s | Total Latency: 17786.00 ms | Throughput: 37172.30 records/s
[18:58:54] Time: 34s | Total Latency: 17786.00 ms | Throughput: 37172.30 records/s
[18:58:56] Time: 36s | Total Latency: 18546.00 ms | Throughput: 42321.78 records/s
[18:58:58] Time: 38s | Total Latency: 18903.00 ms | Throughput: 44014.55 records/s
[18:59:00] Time: 40s | Total Latency: 18903.00 ms | Throughput: 46345.65 records/s
[18:59:02] Time: 42s | Total Latency: 18465.00 ms | Throughput: 52445.92 records/s
[18:59:04] Time: 44s | Total Latency: 18465.00 ms | Throughput: 52445.92 records/s
[18:59:06] Time: 46s | Total Latency: 20393.00 ms | Throughput: 57623.20 records/s
[18:59:08] Time: 48s | Total Latency: 20393.00 ms | Throughput: 59130.47 records/s
[18:59:10] Time: 50s | Total Latency: 20393.00 ms | Throughput: 61049.28 records/s
[18:59:12] Time: 52s | Total Latency: 21607.00 ms | Throughput: 66164.17 records/s
[18:59:14] Time: 54s | Total Latency: 21607.00 ms | Throughput: 66164.17 records/s
[18:59:16] Time: 56s | Total Latency: 23547.00 ms | Throughput: 71441.05 records/s
[18:59:18] Time: 58s | Total Latency: 23607.00 ms | Throughput: 72869.15 records/s
[18:59:20] Time: 60s | Total Latency: 23607.00 ms | Throughput: 74429.32 records/s
[18:59:22] Time: 62s | Total Latency: 26662.00 ms | Throughput: 78732.92 records/s
[18:59:24] Time: 64s | Total Latency: 26662.00 ms | Throughput: 78732.92 records/s
[18:59:26] Time: 66s | Total Latency: 28677.00 ms | Throughput: 84129.13 records/s
[18:59:28] Time: 68s | Total Latency: 28677.00 ms | Throughput: 84676.02 records/s
[18:59:30] Time: 70s | Total Latency: 28677.00 ms | Throughput: 84231.78 records/s
[18:59:32] Time: 72s | Total Latency: 30663.00 ms | Throughput: 82655.33 records/s
[18:59:34] Time: 74s | Total Latency: 30663.00 ms | Throughput: 82655.33 records/s
[18:59:36] Time: 76s | Total Latency: 32820.00 ms | Throughput: 80958.43 records/s
[18:59:38] Time: 78s | Total Latency: 32820.00 ms | Throughput: 80948.28 records/s
[18:59:40] Time: 80s | Total Latency: 32820.00 ms | Throughput: 81090.12 records/s
[18:59:42] Time: 82s | Total Latency: 34227.00 ms | Throughput: 81405.98 records/s
[18:59:44] Time: 84s | Total Latency: 34227.00 ms | Throughput: 81405.98 records/s
[18:59:46] Time: 86s | Total Latency: 34227.00 ms | Throughput: 83386.35 records/s
[18:59:48] Time: 88s | Total Latency: 33542.00 ms | Throughput: 83817.80 records/s
[18:59:50] Time: 90s | Total Latency: 33542.00 ms | Throughput: 84266.47 records/s
[18:59:52] Time: 92s | Total Latency: 33281.00 ms | Throughput: 85140.58 records/s
[18:59:54] Time: 94s | Total Latency: 33281.00 ms | Throughput: 85140.58 records/s
[18:59:56] Time: 96s | Total Latency: 33597.00 ms | Throughput: 88628.22 records/s
[18:59:58] Time: 98s | Total Latency: 33783.00 ms | Throughput: 89398.45 records/s
[19:00:00] Time: 100s | Total Latency: 33783.00 ms | Throughput: 90517.10 records/s
[19:00:02] Time: 102s | Total Latency: 35859.00 ms | Throughput: 93140.07 records/s
[19:00:04] Time: 104s | Total Latency: 35859.00 ms | Throughput: 93140.07 records/s
[19:00:06] Time: 106s | Total Latency: 35859.00 ms | Throughput: 97254.70 records/s
[19:00:08] Time: 108s | Total Latency: 38185.00 ms | Throughput: 97626.07 records/s
[19:00:10] Time: 110s | Total Latency: 38185.00 ms | Throughput: 97285.93 records/s
[19:00:12] Time: 112s | Total Latency: 41016.00 ms | Throughput: 97474.37 records/s
[19:00:14] Time: 114s | Total Latency: 41016.00 ms | Throughput: 97474.37 records/s
[19:00:16] Time: 116s | Total Latency: 41016.00 ms | Throughput: 99940.45 records/s
[19:00:18] Time: 118s | Total Latency: 42968.00 ms | Throughput: 100451.07 records/s
[19:00:20] Time: 120s | Total Latency: 42968.00 ms | Throughput: 102914.08 records/s
[19:00:22] Time: 122s | Total Latency: 44177.00 ms | Throughput: 103143.45 records/s
[19:00:24] Time: 124s | Total Latency: 44177.00 ms | Throughput: 103143.45 records/s
[19:00:26] Time: 126s | Total Latency: 44177.00 ms | Throughput: 104236.17 records/s
[19:00:28] Time: 128s | Total Latency: 46114.00 ms | Throughput: 103992.95 records/s
[19:00:30] Time: 130s | Total Latency: 46114.00 ms | Throughput: 104077.23 records/s
[19:00:32] Time: 132s | Total Latency: 46563.00 ms | Throughput: 104368.23 records/s
[19:00:34] Time: 134s | Total Latency: 46563.00 ms | Throughput: 104368.23 records/s
[19:00:36] Time: 136s | Total Latency: 46563.00 ms | Throughput: 104971.10 records/s
[19:00:38] Time: 138s | Total Latency: 47188.00 ms | Throughput: 105648.62 records/s
[19:00:40] Time: 140s | Total Latency: 47188.00 ms | Throughput: 108097.08 records/s
